churn,MonthlyRevenue,TotalRecurringCharge,OverageMinutes,PercChangeRevenues,MonthlyMinutes,PercChangeMinutes,RoamingCalls,DroppedCalls,BlockedCalls,CustomerCareCalls,MonthsInService,CurrentEquipmentDays,HandsetPrice,HandsetRefurbished,HandsetWebCapable,AgeHH1,CreditRating,IncomeGroup,Occupation,ReferralsMadeBySubscriber
No,64.36,70.0,77.0,57.1,1931.0,242.0,0.0,23.7,1.0,2.7,14,315.0,130,No,Yes,0.0,3-Good,0,Other,0
No,30.26,30.0,0.0,-0.3,74.0,-13.0,0.0,2.7,0.0,0.0,18,537.0,Unknown,No,Yes,28.0,2-High,3,Other,0
No,71.83,60.0,54.0,26.0,1084.0,74.0,2.1,13.0,0.7,2.0,29,198.0,100,No,Yes,36.0,1-Highest,4,Other,0
No,33.98,41.0,0.0,16.0,90.0,-88.0,0.0,4.3,1.0,0.7,27,214.0,60,Yes,Yes,32.0,3-Good,3,Other,0
Yes,56.35,30.0,90.0,20.1,410.0,230.0,0.0,8.3,4.3,0.0,39,1174.0,Unknown,No,No,26.0,1-Highest,8,Other,0
Yes,37.2,30.0,5.0,-3.6,278.0,-94.0,0.0,3.7,0.7,0.7,31,935.0,Unknown,No,No,48.0,1-Highest,7,Professional,0
Yes,63.4,43.0,55.0,-20.2,502.0,-60.0,0.0,8.3,0.0,2.3,28,462.0,80,No,Yes,0.0,5-Low,0,Other,0
Yes,35.78,40.0,7.0,-2.5,260.0,-152.0,0.0,0.7,0.7,0.0,29,871.0,Unknown,No,Yes,0.0,3-Good,0,Other,0
Yes,58.89,17.0,105.0,-2.7,115.0,-7.0,0.0,3.0,0.3,0.0,38,1131.0,Unknown,No,No,50.0,1-Highest,6,Professional,0
No,23.7,15.0,18.0,14.5,31.0,61.0,0.3,4.0,1.7,0.3,22,664.0,Unknown,Yes,Yes,76.0,1-Highest,4,Retired,0
No,34.81,40.0,0.0,2.0,74.0,11.0,0.0,2.7,0.3,0.0,14,412.0,Unknown,No,Yes,34.0,3-Good,6,Other,0
No,42.08,43.0,0.0,1.9,666.0,286.0,0.0,11.7,3.0,2.3,7,220.0,Unknown,No,Yes,28.0,4-Medium,4,Other,0
No,53.41,60.0,8.0,6.5,1146.0,509.0,0.0,4.7,0.3,0.0,25,762.0,Unknown,No,Yes,42.0,1-Highest,7,Other,0
No,126.69,42.0,322.0,-81.0,787.0,-469.0,0.0,5.0,0.3,0.0,19,302.0,150,Yes,Yes,30.0,2-High,3,Professional,0
No,40.53,32.0,12.0,-4.0,182.0,-38.0,0.0,1.3,0.0,0.0,19,148.0,150,Yes,Yes,50.0,2-High,9,Professional,0
Yes,31.65,30.0,0.0,-1.5,52.0,-44.0,0.0,0.7,0.7,0.0,40,1226.0,Unknown,No,No,58.0,7-Lowest,5,Professional,0
No,31.68,40.0,0.0,1.3,461.0,88.0,0.0,0.3,24.0,0.7,12,350.0,Unknown,No,Yes,38.0,2-High,3,Other,0
No,50.48,60.0,1.0,-0.5,111.0,44.0,0.0,1.7,1.3,0.7,7,208.0,Unknown,No,Yes,46.0,2-High,9,Other,0
No,85.56,75.0,0.0,-10.6,826.0,-231.0,0.0,12.3,9.0,0.0,49,85.0,30,No,Yes,38.0,2-High,2,Other,0
Yes,102.22,45.0,41.0,-53.5,282.0,-280.0,5.5,1.0,1.7,0.0,46,357.0,40,Yes,Yes,26.0,1-Highest,7,Other,0
No,30.26,40.0,0.0,-0.3,42.0,16.0,0.0,1.7,0.0,0.0,7,197.0,Unknown,No,Yes,42.0,2-High,4,Professional,0
No,182.83,55.0,315.0,36.7,2470.0,459.0,0.1,23.3,2.7,44.0,7,202.0,Unknown,No,Yes,0.0,5-Low,0,Other,0
No,71.49,80.0,0.0,0.5,1164.0,-230.0,0.0,2.3,4.3,0.7,14,38.0,80,No,Yes,0.0,4-Medium,0,Other,0
Yes,54.31,40.0,54.0,63.3,357.0,632.0,5.1,2.7,0.7,0.0,17,505.0,Unknown,No,Yes,60.0,2-High,5,Crafts,0
No,50.37,45.0,58.0,-16.4,840.0,256.0,2.0,17.7,1.7,6.7,31,44.0,30,Yes,Yes,30.0,1-Highest,5,Other,0
No,20.48,30.0,1.0,-0.5,11.0,14.0,0.0,0.0,0.0,0.3,8,214.0,Unknown,No,Yes,56.0,4-Medium,6,Other,0
Yes,70.93,60.0,2.0,-20.5,1624.0,-175.0,0.3,16.3,1.7,6.0,18,106.0,100,Yes,Yes,0.0,2-High,0,Other,0
No,17.33,17.0,0.0,,7.0,,0.0,0.0,0.0,0.0,49,1477.0,Unknown,No,No,44.0,1-Highest,6,Professional,0
No,50.48,59.0,0.0,-0.2,552.0,81.0,0.0,0.3,2.0,1.0,33,463.0,30,No,Yes,42.0,5-Low,5,Crafts,0
No,31.81,30.0,0.0,1.6,98.0,76.0,1.3,5.0,0.0,0.0,19,202.0,60,Yes,Yes,56.0,2-High,9,Self,0
Yes,62.49,40.0,96.0,-1.4,586.0,10.0,0.5,0.0,0.0,0.0,9,287.0,Unknown,No,Yes,24.0,2-High,6,Other,0
No,60.27,60.0,21.0,-10.3,416.0,-195.0,0.0,8.7,2.3,3.3,20,229.0,60,No,Yes,0.0,5-Low,0,Other,0
No,36.48,36.0,0.0,-0.5,804.0,-227.0,0.0,16.0,2.7,2.7,27,798.0,Unknown,No,Yes,32.0,2-High,6,Other,0
No,96.97,80.0,25.0,12.3,492.0,74.0,8.8,9.3,1.7,0.0,10,289.0,Unknown,No,Yes,36.0,2-High,9,Other,0
No,30.0,30.0,0.0,0.0,6.0,-6.0,0.0,0.0,0.0,0.0,52,1570.0,Unknown,No,No,62.0,1-Highest,7,Other,0
Yes,59.37,45.0,68.0,-24.4,1133.0,-1130.0,0.0,61.3,17.3,2.7,14,178.0,130,No,Yes,46.0,2-High,5,Other,1
No,51.91,60.0,3.0,2.0,570.0,123.0,0.0,3.7,1.3,0.0,39,273.0,30,No,No,22.0,2-High,6,Other,0
No,32.5,40.0,5.0,-1.5,264.0,-104.0,0.0,0.0,0.0,0.0,11,348.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,44.37,35.0,20.0,-6.4,540.0,27.0,0.0,6.0,0.0,0.0,26,134.0,30,No,Yes,52.0,4-Medium,5,Crafts,0
No,31.9,28.0,0.0,-5.1,153.0,0.0,0.3,4.0,0.7,0.0,32,342.0,30,No,Yes,36.0,3-Good,4,Professional,0
Yes,54.95,30.0,56.0,-54.9,437.0,-369.0,1.1,1.3,1.7,0.7,23,442.0,150,Yes,Yes,0.0,5-Low,0,Other,0
No,77.56,59.0,36.0,23.4,676.0,-148.0,0.0,0.0,0.0,0.0,9,287.0,Unknown,No,Yes,0.0,4-Medium,0,Other,0
No,10.97,10.0,3.0,-0.7,36.0,54.0,0.0,0.0,0.0,0.0,11,342.0,Unknown,Yes,Yes,0.0,1-Highest,0,Other,0
No,36.98,45.0,0.0,-1.0,75.0,-51.0,0.0,0.3,1.0,2.7,26,767.0,Unknown,No,No,0.0,2-High,0,Other,0
No,35.3,45.0,0.0,-0.3,350.0,-130.0,0.0,0.0,0.0,0.0,8,243.0,130,No,Yes,72.0,2-High,4,Retired,0
No,35.48,35.0,0.0,-0.5,150.0,32.0,0.0,3.7,0.7,0.0,32,151.0,30,No,Yes,58.0,3-Good,6,Other,0
No,58.28,45.0,52.0,-8.4,958.0,-84.0,0.5,24.0,2.7,0.0,8,230.0,Unknown,No,Yes,56.0,5-Low,5,Other,0
No,49.99,70.0,0.0,0.0,36.0,-22.0,0.0,0.0,0.0,1.0,10,286.0,Unknown,No,Yes,50.0,3-Good,5,Crafts,0
No,35.24,45.0,0.0,0.7,549.0,-2.0,0.0,0.3,0.0,3.0,18,541.0,Unknown,No,Yes,28.0,7-Lowest,3,Professional,1
Yes,116.45,45.0,202.0,64.9,862.0,227.0,0.5,10.3,0.7,0.0,9,253.0,Unknown,No,Yes,0.0,3-Good,0,Other,0
No,40.48,50.0,0.0,-0.5,542.0,-22.0,0.0,5.7,5.3,1.3,28,173.0,10,No,Yes,26.0,7-Lowest,5,Other,0
No,48.4,47.0,14.0,-147.4,922.0,-922.0,0.7,8.3,26.3,1.0,17,96.0,130,No,Yes,52.0,3-Good,4,Other,0
No,52.39,50.0,31.0,-12.4,629.0,-324.0,0.0,35.0,3.7,0.0,7,206.0,Unknown,No,Yes,0.0,7-Lowest,1,Other,0
No,10.16,10.0,0.0,-0.2,0.0,0.0,0.2,0.0,0.0,0.0,13,374.0,Unknown,No,Yes,36.0,3-Good,6,Other,0
No,12.66,10.0,8.0,3.4,83.0,16.0,0.0,2.0,0.0,0.0,7,204.0,Unknown,No,Yes,38.0,2-High,6,Professional,0
Yes,41.31,45.0,0.0,-0.3,232.0,-14.0,0.0,2.7,0.7,0.0,11,313.0,100,No,Yes,0.0,3-Good,0,Other,0
No,31.43,40.0,0.0,-1.4,166.0,-54.0,0.0,2.0,0.7,0.7,10,200.0,30,No,Yes,34.0,2-High,3,Other,0
No,34.99,45.0,0.0,0.0,491.0,9.0,0.0,4.0,2.3,0.0,13,367.0,Unknown,No,Yes,48.0,2-High,5,Other,0
No,43.62,40.0,38.0,-12.6,498.0,-56.0,0.3,0.0,0.0,0.0,10,314.0,60,No,Yes,24.0,2-High,6,Professional,0
No,33.25,30.0,0.0,0.0,44.0,-5.0,0.0,0.7,0.0,0.0,42,1250.0,Unknown,No,No,30.0,1-Highest,8,Other,0
No,64.96,71.0,0.0,14.0,856.0,-208.0,0.0,8.3,6.7,0.0,22,669.0,Unknown,No,Yes,42.0,2-High,7,Professional,0
Yes,64.78,50.0,33.0,-9.6,372.0,-16.0,0.3,2.0,1.0,0.0,24,717.0,Unknown,No,Yes,0.0,4-Medium,0,Other,0
No,54.11,50.0,38.0,-14.1,301.0,-42.0,0.8,1.7,0.0,0.0,17,513.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,25.09,25.0,0.0,-0.1,256.0,-29.0,0.0,3.3,3.0,0.0,25,765.0,Unknown,No,Yes,46.0,1-Highest,7,Other,0
Yes,28.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,413.0,Unknown,Yes,Yes,50.0,5-Low,4,Crafts,0
Yes,48.2,45.0,38.0,16.2,476.0,-11.0,0.0,1.3,2.3,3.3,28,237.0,30,No,Yes,36.0,5-Low,6,Professional,0
No,79.0,75.0,2.0,-0.3,708.0,227.0,0.1,3.0,6.0,0.3,18,163.0,150,No,Yes,0.0,2-High,6,Other,0
No,50.66,55.0,0.0,-5.7,78.0,68.0,5.7,0.7,0.0,0.0,9,67.0,200,No,Yes,38.0,2-High,9,Other,0
No,30.51,30.0,0.0,-0.5,89.0,-13.0,0.0,0.0,3.3,0.0,11,346.0,Unknown,No,No,56.0,4-Medium,8,Other,0
No,30.53,30.0,0.0,-0.4,592.0,-110.0,0.0,2.0,7.3,2.3,12,364.0,Unknown,No,Yes,62.0,2-High,6,Other,0
No,39.99,45.0,13.0,-5.0,697.0,-121.0,0.0,2.0,12.0,0.0,7,208.0,Unknown,No,Yes,0.0,4-Medium,0,Other,0
No,54.77,60.0,2.0,0.0,444.0,203.0,0.0,2.3,2.0,1.3,12,3.0,150,No,Yes,0.0,2-High,0,Other,1
Yes,60.79,60.0,7.0,-2.8,708.0,107.0,0.0,12.7,1.7,2.7,13,376.0,Unknown,No,Yes,0.0,5-Low,0,Other,0
Yes,171.31,40.0,404.0,351.8,669.0,1140.0,0.0,2.7,3.3,0.0,14,418.0,Unknown,No,No,74.0,2-High,1,Retired,0
Yes,31.23,40.0,0.0,-1.2,102.0,0.0,0.0,0.0,0.0,0.0,10,318.0,Unknown,No,Yes,66.0,2-High,7,Retired,0
No,51.94,50.0,0.0,-1.9,184.0,-149.0,0.0,2.0,3.7,0.0,19,586.0,Unknown,No,Yes,26.0,2-High,7,Other,0
No,60.59,60.0,0.0,-0.7,734.0,-119.0,0.7,15.0,0.0,4.7,6,184.0,Unknown,No,Yes,54.0,5-Low,6,Self,0
No,19.24,10.0,22.0,16.9,140.0,103.0,0.0,1.7,0.0,0.0,11,308.0,80,Yes,Yes,52.0,2-High,9,Other,0
No,48.73,51.0,15.0,-4.8,210.0,4.0,0.0,4.0,0.3,0.3,7,199.0,150,No,Yes,,6-VeryLow,0,Other,0
Yes,29.39,34.0,0.0,-29.4,702.0,-321.0,3.1,6.3,2.0,0.0,7,212.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,31.13,40.0,0.0,-0.8,274.0,178.0,0.8,0.0,0.0,0.0,9,269.0,Unknown,No,Yes,50.0,2-High,7,Other,0
No,36.94,45.0,0.0,0.4,288.0,-48.0,1.9,4.3,0.7,0.0,12,351.0,Unknown,No,Yes,54.0,5-Low,7,Other,0
No,130.59,100.0,31.0,-13.0,954.0,143.0,0.7,6.7,9.0,0.0,27,49.0,200,No,Yes,36.0,1-Highest,5,Other,0
No,18.75,17.0,1.0,1.6,22.0,14.0,0.8,0.3,0.0,0.0,20,600.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,31.14,30.0,0.0,-1.2,87.0,-19.0,1.2,0.3,0.3,0.3,21,638.0,Unknown,No,No,48.0,2-High,1,Retired,0
No,78.15,75.0,0.0,-2.2,789.0,-99.0,0.0,7.7,21.0,0.0,16,492.0,Unknown,No,Yes,42.0,2-High,9,Professional,0
Yes,59.99,70.0,0.0,0.0,25.0,-2.0,0.0,0.7,0.0,0.0,33,986.0,Unknown,No,Yes,40.0,1-Highest,7,Professional,0
Yes,32.78,32.0,0.0,-0.3,261.0,-16.0,0.0,2.7,3.7,0.0,12,357.0,Unknown,No,Yes,30.0,3-Good,6,Other,0
No,35.37,30.0,0.0,-5.4,115.0,-25.0,5.4,1.3,0.3,0.3,42,175.0,30,Yes,No,0.0,1-Highest,3,Other,0
Yes,31.4,30.0,3.0,3.1,91.0,102.0,0.0,1.3,0.0,0.0,15,454.0,Unknown,No,Yes,26.0,2-High,3,Other,0
No,46.23,40.0,0.0,-16.2,282.0,-260.0,0.0,6.3,0.7,0.7,16,465.0,Unknown,No,Yes,,4-Medium,0,Other,0
Yes,34.99,45.0,0.0,0.0,111.0,-42.0,0.0,2.3,0.3,0.0,7,221.0,Unknown,No,Yes,0.0,1-Highest,0,Other,0
No,61.73,70.0,0.0,-0.7,233.0,-17.0,1.5,2.0,1.0,0.0,16,473.0,Unknown,No,Yes,0.0,4-Medium,0,Other,0
No,63.97,45.0,78.0,31.9,1443.0,231.0,1.5,7.7,2.0,2.3,11,313.0,Unknown,No,Yes,46.0,2-High,7,Professional,0
No,35.01,50.0,0.0,2.0,29.0,13.0,0.0,0.0,0.0,0.0,6,193.0,Unknown,No,Yes,42.0,2-High,5,Other,0
No,85.78,32.0,176.0,-21.2,486.0,-119.0,0.0,4.3,0.3,0.0,20,619.0,Unknown,No,Yes,52.0,3-Good,7,Other,0
No,80.76,84.0,0.0,-29.3,1199.0,-717.0,0.0,12.0,14.3,5.7,10,16.0,30,Yes,Yes,52.0,5-Low,6,Professional,2
No,116.98,95.0,52.0,31.0,1922.0,1016.0,13.0,5.7,0.0,0.3,15,437.0,Unknown,No,Yes,,5-Low,0,Other,0
No,20.24,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1479.0,Unknown,No,No,82.0,3-Good,5,Crafts,0
No,100.11,55.0,178.0,148.6,808.0,703.0,0.0,18.0,4.7,0.0,7,197.0,Unknown,No,Yes,48.0,2-High,6,Other,0
No,66.17,60.0,8.0,-7.6,110.0,12.0,0.0,1.0,0.0,0.0,13,381.0,Unknown,No,Yes,0.0,5-Low,0,Other,0
No,54.24,50.0,0.0,-0.2,93.0,70.0,0.0,0.7,1.3,2.3,7,206.0,Unknown,No,Yes,30.0,4-Medium,1,Student,0
No,54.97,30.0,69.0,-13.6,239.0,-35.0,0.0,0.3,4.3,0.0,33,996.0,Unknown,No,No,34.0,1-Highest,7,Professional,0
No,152.72,105.0,239.0,-48.5,1622.0,-436.0,3.0,60.3,11.0,7.0,6,68.0,150,Yes,Yes,40.0,5-Low,9,Other,0
No,30.09,40.0,0.0,-0.1,381.0,-113.0,0.1,4.7,4.3,0.7,14,419.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,71.43,40.0,0.0,-41.4,161.0,-42.0,1.4,4.3,3.3,1.0,8,55.0,130,Yes,Yes,32.0,5-Low,4,Professional,0
Yes,55.69,47.0,52.0,-10.6,942.0,204.0,0.0,0.0,0.0,0.0,11,106.0,80,No,Yes,0.0,4-Medium,0,Other,0
Yes,41.52,45.0,17.0,8.8,1199.0,300.0,0.0,11.0,0.3,4.7,11,308.0,Unknown,No,Yes,,4-Medium,0,Other,0
No,96.77,75.0,42.0,1.9,1677.0,-69.0,0.0,10.0,2.3,0.0,45,1030.0,30,No,Yes,58.0,3-Good,3,Self,0
No,66.36,70.0,0.0,-2.4,430.0,-46.0,2.4,0.0,0.0,0.0,10,303.0,Unknown,No,Yes,0.0,2-High,0,Other,0
